id;name;data;data_content_type;created_date
1;Savings Account;../fake-data/blob/hipster.png;image/png;2019-12-26T01:43:45
2;Sri Lanka;../fake-data/blob/hipster.png;image/png;2019-12-26T01:36:36
3;Rustic;../fake-data/blob/hipster.png;image/png;2019-12-25T23:16:44
4;European Unit of Account 17(E.U.A.-17);../fake-data/blob/hipster.png;image/png;2019-12-26T01:40:39
5;Squares Concrete Legacy;../fake-data/blob/hipster.png;image/png;2019-12-25T19:01:43
6;Credit Card Account;../fake-data/blob/hipster.png;image/png;2019-12-26T04:14:10
7;Data Tasty Concrete Soap;../fake-data/blob/hipster.png;image/png;2019-12-26T04:14:44
8;reinvent;../fake-data/blob/hipster.png;image/png;2019-12-25T16:09:15
9;invoice;../fake-data/blob/hipster.png;image/png;2019-12-26T11:13:00
10;United Arab Emirates Tuvalu Quality;../fake-data/blob/hipster.png;image/png;2019-12-25T21:16:18
